Plot,X,Y,Coord,Gr Ht,Hit,Spp,Stat,Ht
1,B,2,B2,26,1,CARSPP,A,12
1,B,3,B3,23,1,LEDPAL,A,15.5
1,B,4,B4,20.5,1,ERIVAG,D,17
1,B,5,B5,26,1,LEDPAL,A,14
1,B,6,B6,27.5,1,LEDPAL,A,19.5
1,C,2,C2,21.5,1,ERIVAG,D,14
1,C,3,C3,18,1,PETFRI,D,13
1,C,4,C4,17,1,ERIVAG,A,13.5
1,C,5,C5,21,1,ERIVAG,A,12.5
1,C,6,C6,24.5,1,ERIVAG,D,22
1,C,7,C7,26,1,MOSSPP,A,25
1,D,1,D1,23,1,ERIVAG,D,14
1,D,2,D2,20,1,ERIVAG,A,10
1,D,3,D3,19.5,1,ERIVAG,A,15
1,D,4,D4,18.5,1,LEDPAL,A,15.5
1,D,5,D5,19,1,ERIVAG,A,12.5
1,D,6,D6,22.5,1,MOSSPP,A,21.5
1,D,7,D7,22.5,1,MOSSPP,A,22
1,E,1,E1,22,1,CARSPP,A,17.5
1,E,2,E2,20.5,1,ERIVAG,D,16.5
1,E,3,E3,19,1,ERIVAG,D,15
1,E,4,E4,20,1,ERIVAG,D,16
1,E,5,E5,19.5,1,ERIVAG,A,13
1,E,6,E6,22.5,1,LICHEN,A,22
1,E,7,E7,23,1,VACVIT,A,21
1,F,1,F1,22.5,1,VACVIT,A,21.5
1,F,2,F2,25,1,ERIVAG,D,20.5
1,F,3,F3,25,1,LEDPAL,D,22
1,F,4,F4,24.5,1,MOSSPP,A,23
1,F,5,F5,23,1,VACVIT,A,21.5
1,F,6,F6,24.5,1,LICHEN,A,24
1,F,7,F7,23.5,1,MOSSPP,A,22.5
1,G,2,G2,25,1,PETFRI,A,19.5
1,G,3,G3,27.5,1,MOSSPP,A,26.5
1,G,4,G4,27,1,MOSSPP,A,26
1,G,5,G5,27.5,1,ERIVAG,A,12.5
1,B,2,B2,26,2,LEDPAL,A,14.5
1,B,3,B3,23,2,LEDPAL,A,20.5
1,B,4,B4,20.5,2,VACVIT,A,19.5
1,B,5,B5,26,2,LEDPAL,A,22.5
1,B,6,B6,27.5,2,MOSSPP,A,26.5
1,C,2,C2,21.5,2,LEDPAL,D,16
1,C,3,C3,18,2,LEDPAL,A,15
1,C,4,C4,17,2,ERIVAG,D,15.5
1,C,5,C5,21,2,ERIVAG,D,14
1,C,6,C6,24.5,2,LICHEN,A,23
1,D,1,D1,23,2,ERIVAG,D,20.5
1,D,2,D2,20,2,ERIVAG,D,14.5
1,D,3,D3,19.5,2,ERIVAG,A,16
1,D,4,D4,18.5,2,LITTER,D,18
1,D,5,D5,19,2,ERIVAG,A,14.5
1,E,1,E1,22,2,VACVIT,A,19.5
1,E,2,E2,20.5,2,ERIVAG,D,18
1,E,3,E3,19,2,ERIVAG,D,17
1,E,4,E4,20,2,LITTER,D,19.5
1,E,5,E5,19.5,2,ERIVAG,D,15
1,E,7,E7,23,2,MOSSPP,A,22
1,F,1,F1,22.5,2,MOSSPP,A,22
1,F,2,F2,25,2,BETNAN,A,22
1,F,3,F3,25,2,MOSSPP,A,24
1,F,5,F5,23,2,MOSSPP,A,22
1,G,2,G2,25,2,BETNAN,A,22.5
1,G,5,G5,27.5,2,MOSSPP,A,26.5
1,B,2,B2,26,3,MOSSPP,A,24
1,B,3,B3,23,3,MOSSPP,A,22
1,B,4,B4,20.5,3,MOSSPP,A,20
1,B,5,B5,26,3,LICHEN,A,24.5
1,C,2,C2,21.5,3,ERIVAG,D,17
1,C,3,C3,18,3,LITTER,D,17.5
1,C,4,C4,17,3,ERIVAG,D,16.5
1,C,5,C5,21,3,ERIVAG,D,15.5
1,D,1,D1,23,3,MOSSPP,A,22
1,D,2,D2,20,3,LEDPAL,A,17
1,D,3,D3,19.5,3,VACVIT,A,17.5
1,D,5,D5,19,3,ERIVAG,D,16
1,E,1,E1,22,3,MOSSPP,A,21.5
1,E,2,E2,20.5,3,LITTER,D,20
1,E,3,E2,20.5,3,LITTER,D,18.5
1,E,5,E5,19.5,3,ERIVAG,D,17
1,F,2,F2,25,3,MOSSPP,A,24
1,G,2,G2,25,3,MOSSPP,A,23.5
1,C,2,C2,21.5,4,MOSSPP,A,20.5
1,D,2,D2,20,4,LEDPAL,A,18
1,D,5,D5,19,4,VACVIT,A,18
1,E,5,E5,19.5,4,MOSSPP,A,18.5
1,D,2,D2,20,5,LITTER,D,19.5
2,B,2,B2,38.5,1,BETNAN,A,29.5
2,B,3,B3,36.5,1,ERIVAG,D,28.5
2,B,4,B4,30,1,ERIVAG,A,16
2,B,5,B5,31,1,ERIVAG,A,24
2,B,6,B6,32.5,1,ERIVAG,A,18
2,C,2,C2,33,1,CARSPP,A,22
2,C,3,C3,31.5,1,ERIVAG,D,21.5
2,C,4,C4,31,1,BETNAN,A,20
2,C,5,C5,28,1,ERIVAG,A,20
2,C,6,C6,31,1,BETNAN,A,22.5
2,C,7,C7,33,1,MOSSPP,A,32.5
2,D,1,D1,38.5,1,CARSPP,D,31
2,D,2,D2,35,1,ERIVAG,A,23.5
2,D,3,D3,27,1,LEDPAL,A,22
2,D,4,D4,29,1,ERIVAG,D,24
2,D,5,D5,38.5,1,ERIVAG,D,6
2,D,6,D6,31.5,1,ERIVAG,A,19
2,D,7,D7,32.5,1,LEDPAL,A,27
2,E,1,E1,37,1,LEDPAL,A,27
2,E,2,E2,30.5,1,SALSPP,A,19.5
2,E,3,E3,27.5,1,ERIVAG,D,23
2,E,4,E4,27.5,1,ERIVAG,A,24
2,E,5,E5,29,1,ERIVAG,A,21
2,E,6,E6,26.5,1,ERIVAG,D,19
2,E,7,E7,30.5,1,ERIVAG,D,20
2,F,1,F1,37,1,LEDPAL,A,26
2,F,2,F2,35.5,1,LEDPAL,A,24.5
2,F,3,F3,33,1,ERIVAG,A,26
2,F,4,F4,29,1,ERIVAG,D,20
2,F,5,F5,28.5,1,ERIVAG,D,23
2,F,6,F6,32,1,ERIVAG,D,25
2,F,7,F7,32,1,LEDPAL,A,27
2,G,2,G2,36,1,LITTER,D,33.5
2,G,3,G3,36,1,ERIVAG,A,28
2,G,4,G4,35,1,ERIVAG,D,30
2,G,5,G5,36,1,ERIVAG,A,28
2,G,6,G6,37,1,EMPNIG,A,32
2,B,2,B2,38.5,2,ERIVAG,D,34.5
2,B,3,B3,36.5,2,LEDPAL,A,30.5
2,B,4,B4,30,2,ERIVAG,A,24.5
2,B,5,B5,31,2,ERIVAG,D,27
2,B,6,B6,32.5,2,LEDPAL,A,29
2,C,2,C2,33,2,ERIVAG,D,28
2,C,3,C3,31.5,2,LEDPAL,A,28.5
2,C,4,C4,31,2,ERIVAG,D,29
2,C,5,C5,28,2,ERIVAG,A,24.5
2,C,6,C6,31,2,LITTER,D,29.5
2,D,1,D1,38.5,2,BETNAN,A,32
2,D,2,D2,35,2,BETNAN,A,25
2,D,3,D3,27,2,ERIVAG,D,25
2,D,4,D4,29,2,VACVIT,A,24.5
2,D,5,D5,38.5,2,LEDPAL,A,20
2,D,6,D6,31.5,2,ERIVAG,D,25
2,D,7,D7,32.5,2,MOSSPP,A,32
2,E,1,E1,37,2,LEDPAL,A,31.5
2,E,2,E2,30.5,2,BETNAN,A,25
2,E,3,E3,27.5,2,ERIVAG,D,25
2,E,5,E5,29,2,ERIVAG,D,24
2,E,6,E6,26.5,2,ERIVAG,D,22
2,E,7,E7,30.5,2,ERIVAG,D,25
2,F,1,F1,37,2,LITTER,D,36.5
2,F,2,F2,35.5,2,ERIVAG,D,30
2,F,3,F3,33,2,ERIVAG,D,28
2,F,4,F4,29,2,BETNAN,A,26
2,F,5,F5,28.5,2,ERIVAG,D,25
2,F,6,F6,32,2,ERIVAG,D,27
2,F,7,F7,32,2,MOSSPP,A,31.5
2,G,3,G3,36,2,ERIVAG,D,33
2,G,4,G4,35,2,LEDPAL,D,31
2,G,5,G5,36,2,BETNAN,A,31
2,G,6,G6,37,2,MOSSPP,A,36
2,B,2,B2,38.5,3,LITTER,D,36.5
2,B,3,B3,36.5,3,LITTER,D,34
2,B,4,B4,30,3,ERIVAG,D,28
2,B,5,B5,31,3,ERIVAG,D,29
2,B,6,B6,32.5,3,MOSSPP,A,31
2,C,2,C2,33,3,VACVIT,A,31.5
2,C,3,C3,31.5,3,ERIVAG,D,29.5
2,C,5,C5,28,3,VACVIT,A,25.5
2,C,6,C6,31,3,MOSSPP,A,30
2,D,1,D1,38.5,3,LEDPAL,A,33.5
2,D,2,D2,35,3,LEDPAL,A,27.5
2,D,3,D3,27,3,LEDPAL,A,26.5
2,D,4,D4,29,3,ERIVAG,D,26
2,D,5,D5,38.5,3,LITTER,D,27
2,D,6,D6,31.5,3,LEDPAL,A,28
2,E,1,E1,37,3,LEDPAL,A,32
2,E,2,E2,30.5,3,LEDPAL,A,27.5
2,E,3,E3,27.5,3,LITTER,D,27
2,E,5,E5,29,3,ERIVAG,D,25
2,E,6,E6,26.5,3,LITTER,D,25
2,E,7,E7,30.5,3,LEDPAL,A,27
2,F,2,F2,35.5,3,MOSSPP,A,34
2,F,3,F3,33,3,LEDPAL,A,27
2,F,5,F5,28.5,3,LEDPAL,A,27
2,F,6,F6,32,3,LITTER,D,30
2,G,3,G3,36,3,MOSSPP,A,34
2,G,4,G4,35,3,ERIVAG,D,33
2,G,5,G5,36,3,MOSSPP,A,34
2,C,5,C5,28,4,MOSSPP,A,27
2,D,1,D1,38.5,4,MOSSPP,A,37
2,D,2,D2,35,4,LITTER,D,32.5
2,D,4,D4,29,4,LITTER,D,28
2,D,6,D6,31.5,4,MOSSPP,A,30.5
2,E,1,E1,37,4,MOSSPP,A,36
2,E,5,E5,29,4,LITTER,D,27
2,E,7,E7,30.5,4,MOSSPP,A,29
2,F,3,F3,33,4,LITTER,D,32
3,B,2,B2,35.5,1,ERIVAG,A,24
3,B,3,B3,31.5,1,ERIVAG,D,29
3,B,4,B4,30.5,1,ERIVAG,D,28
3,B,5,B5,35,1,LEDPAL,A,24
3,B,6,B6,37,1,MOSSPP,A,36
3,C,2,C2,31,1,ERIVAG,D,26
3,C,3,C3,29,1,ERIVAG,D,24
3,C,4,C4,28,1,VACVIT,A,25
3,C,5,C5,29,1,ERIVAG,D,23
3,C,6,C6,31.5,1,MOSSPP,A,30
3,D,1,D1,35,1,VACVIT,A,31
3,D,2,D2,35,1,ERIVAG,D,26
3,D,3,D3,27,1,ERIVAG,D,19
3,D,4,D4,26,1,ERIVAG,A,24
3,D,5,D5,28,1,LICHEN,A,27
3,D,6,D6,28,1,CARSPP,D,25.5
3,D,7,D7,36,1,ERIVAG,D,21.5
3,E,1,E1,33,1,ERIVAG,D,26
3,E,2,E2,31.5,1,ERIVAG,D,25
3,E,3,E3,29,1,ERIVAG,A,21.5
3,E,4,E4,27.5,1,ERIVAG,D,23
3,E,5,E5,28,1,ERIVAG,D,25
3,E,6,E6,30,1,ERIVAG,D,24
3,E,7,E7,35,1,CARSPP,D,28
3,F,2,F2,32,1,ERIVAG,D,28
3,F,3,F3,31.5,1,ERIVAG,D,22.5
3,F,4,F4,28,1,MOSSPP,A,27
3,F,5,F5,30,1,VACVIT,A,27
3,F,6,F6,30,1,MOSSPP,A,29
3,G,2,G2,33,1,ERIVAG,D,27
3,G,3,G3,32,1,MOSSPP,A,31
3,G,4,G4,31,1,BETNAN,A,28
3,G,5,G5,31,1,ERIVAG,D,26
3,G,6,G6,32,1,BETNAN,A,27
3,B,2,B2,35.5,2,ERIVAG,D,27
3,B,3,B3,31.5,2,MOSSPP,A,31
3,B,4,B4,30.5,2,MOSSPP,A,30
3,B,5,B5,35,2,VACVIT,A,27
3,C,2,C2,31,2,ERIVAG,D,28
3,C,3,C3,29,2,LEDPAL,D,25
3,C,4,C4,28,2,ERIVAG,A,26
3,C,5,C5,29,2,ERIVAG,D,25
3,D,1,D1,35,2,LITTER,D,33
3,D,2,D2,35,2,ERIVAG,D,28
3,D,3,D3,27,2,ERIVAG,D,23
3,D,4,D4,26,2,ERIVAG,D,25
3,D,6,D6,28,2,BETNAN,A,27
3,D,7,D7,36,2,MOSSPP,A,33.5
3,E,1,E1,33,2,BETNAN,A,27
3,E,2,E2,31.5,2,ERIVAG,D,27
3,E,3,E3,29,2,LEDPAL,D,26
3,E,4,E4,27.5,2,MOSSPP,A,27
3,E,5,E5,28,2,MOSSPP,A,27
3,E,6,E6,30,2,ERIVAG,D,25
3,E,7,E7,35,2,VACVIT,A,31
3,F,3,F3,31.5,2,VACVIT,A,24.5
3,F,5,F5,30,2,MOSSPP,A,29
3,G,2,G2,33,2,LITTER,D,32
3,G,4,G4,31,2,MOSSPP,A,28.5
3,G,5,G5,31,2,MOSSPP,A,29
3,G,6,G6,32,2,LITTER,D,31
3,B,2,B2,35.5,3,ERIVAG,D,30
3,B,5,B5,35,3,BETNAN,A,30
3,C,2,C2,31,3,LITTER,D,30
3,C,3,C3,29,3,ERIVAG,D,28
3,C,5,C5,29,3,LITTER,D,27
3,D,2,D2,35,3,LITTER,D,33
3,D,3,D3,27,3,ERIVAG,D,25
3,D,6,D6,28,3,MOSSPP,A,27.5
3,E,1,E1,33,3,ERIVAG,D,29
3,E,3,E3,29,3,LITTER,D,28
3,E,6,E6,30,3,VACVIT,A,29
3,E,7,E7,35,3,LITTER,D,33
3,F,3,F3,31.5,3,MOSSPP,A,31
3,B,2,B2,35.5,4,MOSSPP,A,34
3,B,5,B5,35,4,LITTER,D,34
3,E,1,E1,33,4,VACVIT,A,31.5
4,B,2,B2,25,1,VACVIT,A,21
4,B,3,B3,27,1,ERIVAG,D,23
4,B,4,B4,31,1,ERIVAG,A,22.5
4,B,5,B5,35.5,1,MOSSPP,A,35
4,C,1,C1,24,1,ERIVAG,A,17.5
4,C,2,C2,28,1,ERIVAG,A,20
4,C,3,C3,29.5,1,ERIVAG,D,21.5
4,C,5,C5,32,1,BETNAN,A,29
4,C,6,C6,33.5,1,LICHEN,A,33
4,D,1,D1,21.5,1,ERIVAG,D,18
4,D,2,D2,25,1,ERIVAG,D,21
4,D,3,D3,28,1,MOSSPP,A,27.5
4,D,4,D4,30,1,ERIVAG,A,21
4,D,5,D5,30,1,ERIVAG,A,24
4,D,6,D6,28.5,1,BETNAN,A,23
4,D,7,D7,26,1,ERIVAG,D,24
4,E,1,E1,285,1,ERIVAG,A,10.5
4,E,2,E2,25,1,ERIVAG,A,20
4,E,3,E3,30,1,ERIVAG,D,25.5
4,E,4,E4,30,1,ERIVAG,D,25
4,E,5,E5,31,1,ERIVAG,D,22
4,E,6,E6,27,1,ERIVAG,A,21
4,E,7,E7,27,1,ERIVAG,A,17
4,F,2,F2,31,1,ERIVAG,A,23
4,F,3,F3,31,1,BETNAN,A,23
4,F,4,F4,32,1,ERIVAG,D,29
4,F,5,F5,34,1,ERIVAG,A,23
4,F,6,F6,35,1,ERIVAG,A,22
4,G,3,G3,39,1,MOSSPP,A,38
4,G,4,G4,39,1,LEDPAL,A,30
4,G,5,G5,35,1,POLBIS,A,28
4,B,2,B2,25,2,ERIVAG,D,22.5
4,B,3,B3,27,2,ERIVAG,D,25
4,B,4,B4,31,2,ERIVAG,D,27.5
4,C,1,C1,24,2,ERIVAG,D,20.5
4,C,2,C2,28,2,ERIVAG,D,23
4,C,3,C3,29.5,2,ERIVAG,A,25.5
4,C,5,C5,32,2,MOSSPP,A,31
4,D,1,D1,21.5,2,VACVIT,A,21
4,D,2,D2,25,2,ERIVAG,D,23
4,D,4,D4,30,2,ERIVAG,D,25
4,D,5,D5,30,2,MOSSPP,A,29
4,D,6,D6,28.5,2,LITTER,D,28
4,D,7,D7,26,2,LITTER,D,25
4,E,1,E1,285,2,ERIVAG,D,21
4,E,2,E2,25,2,ERIVAG,A,23
4,E,3,E3,30,2,ERIVAG,D,27
4,E,4,E4,30,2,ERIVAG,A,26
4,E,5,E5,31,2,ERIVAG,D,25
4,E,6,E6,27,2,ERIVAG,D,26
4,E,7,E7,27,2,LEDPAL,A,20
4,F,2,F2,31,2,ERIVAG,D,26
4,F,3,F3,31,2,ERIVAG,D,26
4,F,4,F4,32,2,MOSSPP,A,31
4,F,5,F5,34,2,LEDPAL,D,26
4,F,6,F6,35,2,ERIVAG,D,25
4,G,4,G4,39,2,MOSSPP,A,36
4,G,5,G5,35,2,VACVIT,A,33
4,B,2,B2,25,3,MOSSPP,A,24
4,B,3,B3,27,3,MOSSPP,A,26
4,B,4,B4,31,3,LITTER,D,30.5
4,C,1,C1,24,3,LITTER,D,23
4,C,2,C2,28,3,ERIVAG,A,25
4,C,3,C3,29.5,3,ERIVAG,D,28
4,D,4,D4,30,3,ERIVAG,D,27
4,E,1,E1,285,3,MOSSPP,A,24
4,E,2,E2,25,3,ERIVAG,D,24
4,E,3,E3,30,3,MOSSPP,A,29
4,E,4,E4,30,3,ERIVAG,A,27.5
4,E,5,E5,31,3,ERIVAG,D,27
4,E,7,E7,27,3,ERIVAG,A,24
4,F,2,F2,31,3,ERIVAG,A,28
4,F,3,F3,31,3,ERIVAG,D,28
4,F,5,F5,34,3,LEDPAL,A,30
4,F,6,F6,35,3,LEDPAL,D,28
4,G,5,G5,35,3,MOSSPP,A,34
4,C,2,C2,28,4,LITTER,D,27
4,C,3,C3,29.5,4,LITTER,D,29
4,D,4,D4,30,4,MOSSPP,A,29
4,E,4,E4,30,4,LITTER,D,29
4,E,5,E5,31,4,LITTER,D,30
4,E,7,E7,27,4,LITTER,D,26
4,F,2,F2,31,4,MOSSPP,A,30
4,F,3,F3,31,4,MOSSPP,A,30
4,F,5,F5,34,4,MOSSPP,A,33
4,F,6,F6,35,4,VACVIT,A,21
4,F,6,F6,35,5,MOSSPP,A,33.5
5,B,2,B2,34,1,LEDPAL,A,29
5,B,3,B3,36,1,LEDPAL,A,26
5,B,4,B4,35,1,LEDPAL,A,29
5,B,5,B5,37,1,BETNAN,A,25
5,B,6,B6,34,1,LEDPAL,A,29
5,C,2,C2,30,1,ERIVAG,D,27
5,C,3,C3,29,1,BETNAN,A,25
5,C,4,C4,31,1,VACVIT,A,28
5,C,5,C5,35,1,BETNAN,A,22
5,C,6,C6,33.5,1,ERIVAG,D,22
5,C,7,C7,34,1,ERIVAG,A,23
5,C,8,C8,34,1,MOSSPP,A,33
5,D,1,D1,33,3,MOSSPP,A,32
5,D,2,D2,30,1,ERIVAG,D,26
5,D,3,D3,29,1,BETNAN,A,19
5,D,4,D4,31,1,BETNAN,A,25
5,D,5,D5,28.5,1,BETNAN,A,21
5,D,6,D6,27,1,CARSPP,D,21
5,D,7,D7,29,1,ERIVAG,D,25
5,D,8,D8,34,1,BETNAN,A,24
5,E,2,E2,34,1,LEDPAL,A,28.5
5,E,3,E3,34,1,CARSPP,A,21
5,E,4,E4,29,1,BETNAN,A,22
5,E,5,E5,28,1,ERIVAG,D,21
5,E,6,E6,30,1,CARSPP,A,18
5,E,7,E7,32,1,CARSPP,A,19
5,F,3,F3,34,1,CARSPP,D,28
5,F,4,F4,32,1,ERIVAG,A,21
5,F,5,F5,32,1,ERIVAG,A,24.5
5,F,6,F6,32,1,ERIVAG,D,29
5,F,7,F7,43,1,ERIVAG,D,25
5,G,4,G4,51.5,1,LEDPAL,A,31.5
5,G,5,G5,51,1,BETNAN,A,33
5,B,2,B2,34,2,LEDPAL,A,33
5,B,3,B3,36,2,LEDPAL,A,29.5
5,B,4,B4,35,2,MOSSPP,A,34
5,B,5,B5,37,2,ERIVAG,D,31
5,B,6,B6,34,2,MOSSPP,A,33
5,C,2,C2,30,2,MOSSPP,A,29
5,C,3,C3,29,2,VACVIT,A,28
5,C,4,C4,31,2,MOSSPP,A,30
5,C,5,C5,35,2,LEDPAL,A,25
5,C,6,C6,33.5,2,ERIVAG,D,25
5,C,7,C7,34,2,ERIVAG,D,27
5,D,1,D1,33,1,BETNAN,A,27
5,D,2,D2,30,2,VACVIT,A,24
5,D,3,D3,29,2,LITTER,D,30
5,D,4,D4,31,2,ERIVAG,D,22
5,D,5,D5,28.5,2,ERIVAG,D,23
5,D,6,D6,27,2,BETNAN,A,28
5,D,7,D7,29,2,LEDPAL,A,29.5
5,E,2,E2,34,2,MOSSPP,A,33
5,E,3,E3,34,2,CARSPP,D,25.5
5,E,4,E4,29,2,ERIVAG,D,24
5,E,5,E5,28,2,ERIVAG,A,23
5,E,6,E6,30,2,ERIVAG,D,24.5
5,E,7,E7,32,2,ERIVAG,D,25
5,F,3,F3,34,2,LITTER,D,32
5,F,4,F4,32,2,BETNAN,A,24
5,F,5,F5,32,2,ERIVAG,A,27
5,F,6,F6,32,2,LITTER,D,31
5,F,7,F7,43,2,ERIVAG,A,29
5,G,4,G4,51.5,2,BETNAN,A,33
5,G,5,G5,51,2,LEDPAL,A,39
5,B,3,B3,36,3,VACVIT,A,33
5,B,5,B5,37,3,LITTER,D,36
5,C,5,C5,35,3,LEDPAL,A,28
5,C,6,C6,33.5,3,ERIVAG,A,27
5,C,7,C7,34,3,ERIVAG,D,29
5,D,1,D1,33,2,VACVIT,A,29
5,D,2,D2,30,3,ERIVAG,D,25
5,D,4,D4,31,3,ERIVAG,D,25
5,D,5,D5,28.5,3,LITTER,D,26
5,D,7,D7,29,3,MOSSPP,A,33
5,E,3,E3,34,3,CARSPP,D,28
5,E,4,E4,29,3,LITTER,D,28.5
5,E,5,E5,28,3,ERIVAG,A,25
5,E,6,E6,30,3,VACVIT,A,28
5,E,7,E7,32,3,ERIVAG,D,28
5,F,4,F4,32,3,ERIVAG,D,27
5,F,5,F5,32,3,ERIVAG,D,29.5
5,F,7,F7,43,3,ERIVAG,D,31
5,G,4,G4,51.5,3,LEDPAL,A,31
5,G,5,G5,51,3,BETNAN,A,34.5
5,C,5,C5,35,4,LITTER,D,32
5,C,6,C6,33.5,4,BETNAN,A,29
5,C,7,C7,34,4,MOSSPP,A,32.5
5,D,2,D2,30,4,ERIVAG,A,27
5,D,4,D4,31,4,LITTER,D,28
5,E,5,E5,28,4,LITTER,D,27
5,E,6,E6,30,4,LITTER,D,29
5,E,7,E7,32,4,LITTER,D,29
5,F,4,F4,32,4,ERIVAG,A,30
5,F,5,F5,32,4,LITTER,D,31
5,F,7,F7,43,4,LITTER,D,42
5,G,4,G4,51.5,4,MOSSPP,A,45
5,D,2,D2,30,5,MOSSPP,A,28
5,F,4,F4,32,5,BETNAN,A,31
6,B,2,B2,30,1,ERIVAG,A,20
6,B,3,B3,34,1,ERIVAG,A,24.5
6,B,4,B4,38,1,POLBIS,A,30
6,B,5,B5,39.5,1,ERIVAG,D,24
6,B,6,B6,39,1,CARSPP,A,27
