Plot,X,Y,Coord,Hit,Spp,Stat
C1,A,3,A3,1,LEDPAL,D
C1,A,4,A4,1,BETNAN,A
C1,A,5,A5,1,LEDPAL,A
C1,B,2,B2,1,MOSS,A
C1,B,3,B3,1,MOSS,A
C1,B,4,B4,1,CARSPP,D
C1,B,5,B5,1,LEDPAL,D
C1,B,6,B6,1,CARSPP,D
C1,C,1,C1,1,CARSPP,D
C1,C,2,C2,1,ERIVAG,A
C1,C,3,C3,1,CARSPP,D
C1,C,4,C4,1,ERIVAG,D
C1,C,5,C5,1,ERIVAG,D
C1,C,6,C6,1,VACVIT,A
C1,C,7,C7,1,LEDPAL,A
C1,D,1,D1,1,LEDPAL,A
C1,D,2,D2,1,ERIVAG,D
C1,D,3,D3,1,ERIVAG,A
C1,D,4,D4,1,LEDPAL,A
C1,D,5,D5,1,BETNAN,A
C1,D,6,D6,1,ERIVAG,D
C1,D,7,D7,1,ERIVAG,D
C1,E,2,E2,1,ERIVAG,D
C1,E,3,E3,1,ERIVAG,A
C1,E,4,E4,1,VACVIT,A
C1,E,5,E5,1,CARSPP,D
C1,E,6,E6,1,ERIVAG,D
C1,E,7,E7,1,CARSPP,A
C1,F,2,F2,1,ERIVAG,A
C1,F,3,F3,1,BETNAN,A
C1,F,4,F4,1,ERIVAG,A
C1,F,5,F5,1,VACVIT,A
C1,F,6,F6,1,ERIVAG,D
C1,F,7,F7,1,CARSPP,D
C1,G,3,G3,1,MOSS,A
C1,G,4,G4,1,ERIVAG,D
C1,G,5,G5,1,CARSPP,D
C1,G,6,G6,1,LICHEN,A
C1,A,3,A3,2,MOSS,A
C1,A,4,A4,2,RUBCHA,D
C1,A,5,A5,2,LICHEN,A
C1,B,4,B4,2,MOSS,A
C1,B,5,B5,2,LITTER,D
C1,B,6,B6,2,MOSS,A
C1,C,1,C1,2,MOSS,A
C1,C,2,C2,2,CARSPP,A
C1,C,3,C3,2,MOSS,A
C1,C,4,C4,2,LEDPAL,D
C1,C,5,C5,2,LEDPAL,A
C1,C,6,C6,2,VACVIT,A
C1,C,7,C7,2,MOSS,A
C1,D,1,D1,2,CARSPP,D
C1,D,2,D2,2,VACVIT,A
C1,D,3,D3,2,ERIVAG,D
C1,D,4,D4,2,ERIVAG,A
C1,D,5,D5,2,ERIVAG,D
C1,D,6,D6,2,RUBCHA,A
C1,D,7,D7,2,LITTER,D
C1,E,2,E2,2,ERIVAG,D
C1,E,3,E3,2,BETNAN,A
C1,E,4,E4,2,MOSS,A
C1,E,5,E5,2,LEDPAL,A
C1,E,6,E6,2,CARSPP,D
C1,E,7,E7,2,CARSPP,D
C1,F,2,F2,2,LEDPAL,D
C1,F,3,F3,2,ERIVAG,D
C1,F,4,F4,2,ERIVAG,D
C1,F,5,F5,2,LITTER,D
C1,F,6,F6,2,ERIVAG,D
C1,F,7,F7,2,CARSPP,D
C1,G,4,G4,2,LEDPAL,A
C1,G,5,G5,2,LEDPAL,A
C1,G,6,G6,2,MOSS,A
C1,A,4,A4,3,MOSS,A
C1,A,5,A5,3,MOSS,A
C1,B,5,B5,3,MOSS,A
C1,C,2,C2,3,CARSPP,D
C1,C,4,C4,3,MOSS,A
C1,C,5,C5,3,LEDPAL,A
C1,C,6,C6,3,MOSS,A
C1,D,1,D1,3,VACVIT,A
C1,D,2,D2,3,MOSS,A
C1,D,3,D3,3,LITTER,D
C1,D,4,D4,3,MOSS,A
C1,D,5,D5,3,MOSS,A
C1,D,6,D6,3,MOSS,A
C1,D,7,D7,3,MOSS,A
C1,E,2,E2,3,LITTER,D
C1,E,3,E3,3,LEDPAL,A
C1,E,5,E5,3,VACVIT,A
C1,E,6,E6,3,CARSPP,D
C1,E,7,E7,3,CARSPP,D
C1,F,2,F2,3,MOSS,A
C1,F,3,F3,3,LEDPAL,A
C1,F,4,F4,3,VACVIT,A
C1,F,5,F5,3,MOSS,A
C1,F,6,F6,3,CARSPP,D
C1,F,7,F7,3,CARSPP,D
C1,G,4,G4,3,MOSS,A
C1,G,5,G5,3,MOSS,A
C1,C,2,C2,4,MOSS,D
C1,C,5,C5,4,MOSS,A
C1,D,1,D1,4,LICHEN,A
C1,D,3,D3,4,MOSS,A
C1,E,2,E2,4,MOSS,A
C1,E,3,E3,4,LICHEN,A
C1,E,5,E5,4,MOSS,A
C1,E,6,E6,4,MOSS,A
C1,F,3,F3,4,VACVIT,A
C1,F,4,F4,4,ERIVAG,A
C1,F,6,F6,4,MOSS,A
C1,F,7,F7,4,MOSS,A
C1,F,3,F3,5,MOSS,A
C1,F,4,F4,5,MOSS,A
C2,B,2,B2,1,LEDPAL,A
C2,B,3,B3,1,LEDPAL,A
C2,B,4,B4,1,ERIVAG,A
C2,B,5,B5,1,ERIVAG,A
C2,B,6,B6,1,ERIVAG,D
C2,B,7,B7,1,ERIVAG,D
C2,C,1,C1,1,LEDPAL,A
C2,C,2,C2,1,LEDPAL,A
C2,C,3,C3,1,ERIVAG,D
C2,C,4,C4,1,ERIVAG,D
C2,C,5,C5,1,ERIVAG,A
C2,C,6,C6,1,ERIVAG,A
C2,C,7,C7,1,LEDPAL,A
C2,D,1,D1,1,ERIVAG,D
C2,D,2,D2,1,ERIVAG,A
C2,D,3,D3,1,ERIVAG,D
C2,D,4,D4,1,ERIVAG,D
C2,D,5,D5,1,ERIVAG,D
C2,D,6,D6,1,LEDPAL,A
C2,D,7,D7,1,ERIVAG,A
C2,E,1,E1,1,BETNAN,A
C2,E,2,E2,1,ERIVAG,A
C2,E,3,E3,1,ERIVAG,D
C2,E,4,E4,1,ERIVAG,D
C2,E,5,E5,1,ERIVAG,D
C2,E,6,E6,1,ERIVAG,D
C2,F,1,F1,1,ERIVAG,D
C2,F,2,F2,1,ERIVAG,D
C2,F,3,F3,1,ERIVAG,D
C2,F,4,F4,1,ERIVAG,D
C2,F,5,F5,1,ERIVAG,D
C2,F,6,F6,1,ERIVAG,D
C2,G,2,G2,1,ERIVAG,D
C2,G,3,G3,1,ERIVAG,D
C2,G,4,G4,1,ERIVAG,D
C2,G,5,G5,1,ERIVAG,D
C2,G,6,G6,1,LICHEN,A
C2,B,2,B2,2,LITTER,D
C2,B,3,B3,2,LEDPAL,A
C2,B,4,B4,2,LEDPAL,A
C2,B,5,B5,2,ERIVAG,D
C2,B,6,B6,2,ERIVAG,D
C2,B,7,B7,2,ERIVAG,A
C2,C,1,C1,2,VACULI,A
C2,C,2,C2,2,ERIVAG,D
C2,C,3,C3,2,ERIVAG,D
C2,C,4,C4,2,ERIVAG,D
C2,C,5,C5,2,ERIVAG,D
C2,C,6,C6,2,ERIVAG,D
C2,C,7,C7,2,ERIVAG,D
C2,D,1,D1,2,LEDPAL,D
C2,D,2,D2,2,VACVIT,A
C2,D,3,D3,2,LEDPAL,A
C2,D,4,D4,2,ERIVAG,D
C2,D,5,D5,2,MOSS,A
C2,D,6,D6,2,ERIVAG,D
C2,D,7,D7,2,ERIVAG,D
C2,E,1,E1,2,MOSS,A
C2,E,2,E2,2,ERIVAG,D
C2,E,3,E3,2,ERIVAG,A
C2,E,4,E4,2,ERIVAG,D
C2,E,5,E5,2,ERIVAG,D
C2,E,6,E6,2,ERIVAG,D
C2,F,1,F1,2,LEDPAL,D
C2,F,2,F2,2,ERIVAG,D
C2,F,3,F3,2,VACVIT,A
C2,F,4,F4,2,ERIVAG,A
C2,F,5,F5,2,ERIVAG,D
C2,F,6,F6,2,ERIVAG,A
C2,G,2,G2,2,MOSS,A
C2,G,3,G3,2,ERIVAG,D
C2,G,4,G4,2,ERIVAG,D
C2,G,5,G5,2,ERIVAG,D
C2,G,6,G6,2,MOSS,A
C2,B,2,B2,3,MOSS,A
C2,B,3,B3,3,MOSS,A
C2,B,4,B4,3,ERIVAG,D
C2,B,5,B5,3,MOSS,A
C2,B,6,B6,3,MOSS,A
C2,B,7,B7,3,ERIVAG,A
C2,C,1,C1,3,MOSS,A
C2,C,2,C2,3,ERIVAG,D
C2,C,3,C3,3,MOSS,A
C2,C,4,C4,3,MOSS,A
C2,C,5,C5,3,VACULI,A
C2,C,6,C6,3,MOSS,A
C2,C,7,C7,3,MOSS,A
C2,D,1,D1,3,LEDPAL,A
C2,D,2,D2,3,MOSS,A
C2,D,3,D3,3,ERIVAG,D
C2,D,4,D4,3,ERIVAG,A
C2,D,6,D6,3,LITTER,D
C2,D,7,D7,3,MOSS,A
C2,E,2,E2,3,ERIVAG,D
C2,E,3,E3,3,ERIVAG,D
C2,E,4,E4,3,ERIVAG,D
C2,E,5,E5,3,MOSS,A
C2,E,6,E6,3,MOSS,A
C2,F,1,F1,3,MOSS,A
C2,F,2,F2,3,ERIVAG,D
C2,F,3,F3,3,MOSS,A
C2,F,4,F4,3,ERIVAG,A
C2,F,5,F5,3,ERIVAG,D
C2,F,6,F6,3,LICHEN,A
C2,G,3,G3,3,VACVIT,A
C2,G,4,G4,3,ERIVAG,A
C2,G,5,G5,3,LEDPAL,A
C2,B,4,B4,4,LITTER,D
C2,B,7,B7,4,ERIVAG,A
C2,C,2,C2,4,MOSS,A
C2,C,5,C5,4,MOSS,A
C2,D,1,D1,4,VACVIT,A
C2,D,4,D4,4,ERIVAG,D
C2,D,6,D6,4,MOSS,A
C2,E,2,E2,4,LEDPAL,A
C2,F,2,F2,4,MOSS,A
C2,F,6,F6,4,MOSS,A
C2,G,3,G3,4,MOSS,A
C2,G,4,G4,4,MOSS,A
C2,G,5,G5,4,MOSS,A
C2,D,1,D1,5,LICHEN,A
C2,D,4,D4,5,MOSS,A
C2,E,2,E2,5,MOSS,A
C3,B,2,B2,1,LEDPAL,A
C3,B,3,B3,1,MOSS,A
C3,B,4,B4,1,VACULI,A
C3,B,5,B5,1,LEDPAL,D
C3,B,6,B6,1,VACULI,A
C3,C,2,C2,1,VACVIT,A
C3,C,3,C3,1,ERIVAG,A
C3,C,4,C4,1,ERIVAG,D
C3,C,5,C5,1,LEDPAL,D
C3,C,6,C6,1,ERIVAG,D
C3,C,7,C7,1,VACULI,A
C3,D,1,D1,1,BETNAN,A
C3,D,2,D2,1,ERIVAG,D
C3,D,3,D3,1,ERIVAG,D
C3,D,4,D4,1,ERIVAG,D
C3,D,5,D5,1,ERIVAG,A
C3,D,6,D6,1,ERIVAG,D
C3,D,7,D7,1,ERIVAG,D
C3,E,1,E1,1,BETNAN,A
C3,E,2,E2,1,ERIVAG,D
C3,E,3,E3,1,LEDPAL,A
C3,E,4,E4,1,ERIVAG,D
C3,E,5,E5,1,ERIVAG,D
C3,E,6,E6,1,ERIVAG,D
C3,E,7,E7,1,ERIVAG,D
C3,E,8,E8,1,ERIVAG,D
C3,F,2,F2,1,ERIVAG,D
C3,F,3,F3,1,ERIVAG,A
C3,F,4,F4,1,ERIVAG,D
C3,F,5,F5,1,ERIVAG,D
C3,F,6,F6,1,ERIVAG,D
C3,F,7,F7,1,LEDPAL,A
C3,F,8,F8,1,MOSS,A
C3,G,3,G3,1,MOSS,A
C3,G,4,G4,1,MOSS,A
C3,G,5,G5,1,ERIVAG,D
C3,G,6,G6,1,ERIVAG,D
C3,B,2,B2,2,MOSS,A
C3,B,4,B4,2,LICHEN,A
C3,B,5,B5,2,MOSS,A
C3,B,6,B6,2,VACVIT,A
C3,C,2,C2,2,MOSS,A
C3,C,3,C3,2,ERIVAG,D
C3,C,4,C4,2,ERIVAG,D
C3,C,5,C5,2,BETNAN,A
C3,C,6,C6,2,ERIVAG,D
C3,C,7,C7,2,LITTER,D
C3,D,1,D1,2,LICHEN,A
C3,D,2,D2,2,MOSS,A
C3,D,3,D3,2,LITTER,D
C3,D,4,D4,2,LITTER,D
C3,D,5,D5,2,ERIVAG,D
C3,D,6,D6,2,ERIVAG,D
C3,D,7,D7,2,ERIVAG,D
C3,E,1,E1,2,MOSS,A
C3,E,2,E2,2,VACVIT,A
C3,E,3,E3,2,ERIVAG,D
C3,E,4,E4,2,ERIVAG,A
C3,E,5,E5,2,ERIVAG,D
C3,E,6,E6,2,ERIVAG,D
C3,E,7,E7,2,ERIVAG,D
C3,E,8,E8,2,LITTER,D
C3,F,2,F2,2,ERIVAG,D
C3,F,3,F3,2,ERIVAG,A
C3,F,4,F4,2,ERIVAG,D
C3,F,5,F5,2,ERIVAG,A
C3,F,6,F6,2,ERIVAG,A
C3,F,7,F7,2,VACVIT,A
C3,G,5,G5,2,ERIVAG,D
C3,G,6,G6,2,VACVIT,A
C3,B,6,B6,3,MOSS,A
C3,C,3,C3,3,LEDPAL,D
C3,C,4,C4,3,LITTER,D
C3,C,5,C5,3,LITTER,D
C3,C,6,C6,3,LITTER,D
C3,D,1,D1,3,MOSS,A
C3,D,5,D5,3,VACVIT,A
C3,D,6,D6,3,ERIVAG,D
C3,D,7,D7,3,ERIVAG,D
C3,E,2,E2,3,LITTER,D
C3,E,3,E3,3,LEDPAL,A
C3,E,4,E4,3,MOSS,A
C3,E,5,E5,3,LEDPAL,A
C3,E,6,E6,3,ERIVAG,D
C3,E,7,E7,3,LEDPAL,A
C3,E,8,E8,3,MOSS,A
C3,F,2,F2,3,MOSS,A
C3,F,3,F3,3,LICHEN,A
C3,F,4,F4,3,ERIVAG,D
C3,F,5,F5,3,ERIVAG,D
C3,F,6,F6,3,ERIVAG,D
C3,F,7,F7,3,MOSS,A
C3,G,5,G5,3,MOSS,A
C3,G,6,G6,3,MOSS,A
C3,D,5,D5,4,LITTER,D
C3,D,6,D6,4,LITTER,D
C3,D,7,D7,4,LITTER,D
C3,E,3,E3,4,ERIVAG,D
C3,E,5,E5,4,LITTER,D
C3,E,6,E6,4,LITTER,D
C3,E,7,E7,4,MOSS,A
C3,F,3,F3,4,MOSS,A
C3,F,4,F4,4,LEDPAL,A
C3,F,5,F5,4,LITTER,D
C3,F,6,F6,4,VACVIT,A
C3,E,3,E3,5,LICHEN,A
C3,F,4,F4,5,LITTER,D
C3,F,6,F6,5,LITTER,D
